"","subject","term","marks","group","city","modules","subject_taught"
"1","per1","first_term",49,"treatment","jigawa","physics","2"
"2","per2","first_term",48,"treatment","jigawa","physics","2"
"3","per3","first_term",41,"treatment","jigawa","physics","2"
"4","per4","first_term",41,"treatment","jigawa","physics","2"
"5","per5","first_term",40,"treatment","jigawa","physics","2"
"6","per6","first_term",39,"treatment","jigawa","physics","2"
"7","per7","first_term",38,"treatment","jigawa","physics","2"
"8","per8","first_term",35,"treatment","jigawa","physics","2"
"9","per9","first_term",32,"treatment","jigawa","physics","2"
"10","per10","first_term",31,"treatment","jigawa","physics","2"
"11","per11","first_term",31,"treatment","jigawa","physics","2"
"12","per12","first_term",30,"treatment","jigawa","physics","2"
"13","per13","first_term",16,"treatment","jigawa","physics","2"
"14","per14","first_term",43,"control","jigawa","physics","2"
"15","per15","first_term",40,"control","jigawa","physics","2"
"16","per16","first_term",31,"control","jigawa","physics","2"
"17","per17","first_term",30,"control","jigawa","physics","2"
"18","per18","first_term",26,"control","jigawa","physics","2"
"19","per19","first_term",20,"control","jigawa","physics","2"
"20","per20","first_term",48,"treatment","jigawa","chemistry","2"
"21","per21","first_term",46,"treatment","jigawa","chemistry","2"
"22","per22","first_term",35,"treatment","jigawa","chemistry","2"
"23","per23","first_term",40,"treatment","jigawa","chemistry","2"
"24","per24","first_term",42,"treatment","jigawa","chemistry","2"
"25","per25","first_term",30,"treatment","jigawa","chemistry","2"
"26","per26","first_term",44,"treatment","jigawa","chemistry","2"
"27","per27","first_term",37,"treatment","jigawa","chemistry","2"
"28","per28","first_term",42,"treatment","jigawa","chemistry","2"
"29","per29","first_term",26,"control","jigawa","chemistry","2"
"30","per30","first_term",33,"control","jigawa","chemistry","2"
"31","per31","first_term",37,"control","jigawa","chemistry","2"
"32","per32","first_term",37,"treatment","kano","physics","2"
"33","per33","first_term",47,"control","kano","chemistry","1"
"34","per34","first_term",36,"control","kano","chemistry","1"
"35","per35","first_term",31,"control","kano","chemistry","1"
"36","per36","first_term",25,"control","kano","chemistry","1"
"37","per37","first_term",25,"control","kano","chemistry","1"
"38","per38","first_term",18,"control","kano","chemistry","1"
"39","per39","first_term",46,"treatment","kano","chemistry","2"
"40","per40","first_term",32,"treatment","kano","chemistry","2"
"41","per41","first_term",31,"treatment","kano","chemistry","2"
"42","per42","first_term",47,"treatment","kano","chemistry","1"
"43","per43","first_term",45,"treatment","kano","chemistry","1"
"44","per44","first_term",35,"treatment","kano","chemistry","1"
"45","per45","first_term",34,"treatment","kano","chemistry","1"
"46","per46","first_term",29,"treatment","kano","chemistry","1"
"47","per47","first_term",46,"treatment","kano","physics","1"
"48","per48","first_term",34,"treatment","kano","physics","1"
"49","per49","first_term",43,"treatment","kano","physics","1"
"50","per50","first_term",35,"treatment","kano","physics","1"
"51","per51","first_term",48,"treatment","kano","physics","1"
"52","per52","first_term",45,"treatment","kano","physics","1"
"53","per53","first_term",42,"treatment","kano","physics","1"
"54","per54","first_term",42,"treatment","kano","physics","1"
"55","per55","first_term",40,"treatment","kano","physics","1"
"56","per56","first_term",49,"treatment","kano","physics","2"
"57","per57","first_term",45,"treatment","kano","physics","2"
"58","per58","first_term",49,"treatment","kano","physics","2"
"59","per59","first_term",44,"treatment","kano","physics","2"
"60","per60","first_term",49,"treatment","kano","physics","2"
"61","per61","first_term",23,"treatment","kano","physics","2"
"62","per62","first_term",48,"treatment","kano","physics","2"
"63","per63","first_term",36,"treatment","kano","chemistry","2"
"64","per64","first_term",45,"treatment","kano","chemistry","2"
"65","per65","first_term",43,"treatment","kano","chemistry","2"
"66","per66","first_term",46,"treatment","kano","chemistry","2"
"67","per67","first_term",47,"treatment","lagos","chemistry","1"
"68","per68","first_term",46,"treatment","lagos","chemistry","1"
"69","per69","first_term",43,"treatment","lagos","chemistry","1"
"70","per70","first_term",43,"treatment","lagos","chemistry","1"
"71","per71","first_term",42,"treatment","lagos","chemistry","1"
"72","per72","first_term",41,"treatment","lagos","chemistry","1"
"73","per73","first_term",48,"treatment","lagos","physics","2"
"74","per74","first_term",22,"treatment","lagos","physics","2"
"75","per75","first_term",48,"treatment","lagos","physics","2"
"76","per76","first_term",47,"treatment","lagos","physics","2"
"77","per77","first_term",47,"treatment","lagos","physics","2"
"78","per78","first_term",47,"treatment","lagos","physics","2"
"79","per79","first_term",46,"treatment","lagos","physics","2"
"80","per80","first_term",43,"treatment","lagos","physics","2"
